t,y1,y2
0.576,0.379863,0.117928
0.577,0.380995,0.118425
0.578,0.382128,0.118923
0.579,0.383263,0.119422
0.58,0.384398,0.119923
0.581,0.385534,0.120424
0.582,0.386672,0.120927
0.583,0.38781,0.12143
0.584,0.38895,0.121935
0.585,0.39009,0.122441
0.586,0.391232,0.122947
0.587,0.392375,0.123455
0.588,0.393518,0.123964
0.589,0.394663,0.124474
0.59,0.395808,0.124985
0.591,0.396955,0.125498
0.592,0.398103,0.126011
0.593,0.399251,0.126525
0.594,0.400401,0.127041
0.595,0.401552,0.127557
0.596,0.402703,0.128075
0.597,0.403856,0.128593
0.598,0.40501,0.129113
0.599,0.406164,0.129634
0.6,0.40732,0.130156
0.601,0.408476,0.130679
0.602,0.409634,0.131203
0.603,0.410793,0.131728
0.604,0.411952,0.132254
0.605,0.413113,0.132781
0.606,0.414274,0.13331
0.607,0.415437,0.133839
0.608,0.4166,0.13437
0.609,0.417764,0.134901
0.61,0.41893,0.135434
0.611,0.420096,0.135968
0.612,0.421263,0.136502
0.613,0.422432,0.137038
0.614,0.423601,0.137575
0.615,0.424771,0.138113
0.616,0.425942,0.138652
0.617,0.427114,0.139192
0.618,0.428287,0.139733
0.619,0.429461,0.140275
0.62,0.430636,0.140819
0.621,0.431811,0.141363
0.622,0.432988,0.141909
0.623,0.434166,0.142455
0.624,0.435344,0.143003
0.625,0.436524,0.143551
0.626,0.437704,0.144101
0.627,0.438885,0.144652
0.628,0.440068,0.145203
0.629,0.441251,0.145756
0.63,0.442435,0.14631
0.631,0.44362,0.146865
0.632,0.444806,0.147421
0.633,0.445992,0.147978
0.634,0.44718,0.148536
0.635,0.448368,0.149096
0.636,0.449558,0.149656
0.637,0.450748,0.150217
0.638,0.451939,0.150779
0.639,0.453131,0.151343
0.64,0.454324,0.151907
0.641,0.455518,0.152473
0.642,0.456713,0.15304
0.643,0.457909,0.153607
0.644,0.459105,0.154176
0.645,0.460302,0.154746
0.646,0.461501,0.155316
0.647,0.4627,0.155888
0.648,0.4639,0.156461
0.649,0.4651,0.157035
0.65,0.466302,0.15761
0.651,0.467505,0.158186
0.652,0.468708,0.158763
0.653,0.469912,0.159341
0.654,0.471117,0.15992
0.655,0.472323,0.160501
0.656,0.47353,0.161082
0.657,0.474737,0.161664
0.658,0.475946,0.162248
0.659,0.477155,0.162832
0.66,0.478365,0.163418
0.661,0.479576,0.164004
0.662,0.480788,0.164592
0.663,0.482,0.16518
0.664,0.483214,0.16577
0.665,0.484428,0.16636
0.666,0.485643,0.166952
0.667,0.486859,0.167545
0.668,0.488075,0.168139
0.669,0.489293,0.168733
0.67,0.490511,0.169329
0.671,0.49173,0.169926
0.672,0.49295,0.170524
0.673,0.49417,0.171123
0.674,0.495392,0.171723
0.675,0.496614,0.172324
0.676,0.497837,0.172926
0.677,0.499061,0.173529
0.678,0.500285,0.174133
0.679,0.501511,0.174738
0.68,0.502737,0.175344
0.681,0.503964,0.175952
0.682,0.505191,0.17656
0.683,0.50642,0.177169
0.684,0.507649,0.177779
0.685,0.508879,0.178391
0.686,0.51011,0.179003
0.687,0.511341,0.179616
0.688,0.512574,0.180231
0.689,0.513807,0.180846
0.69,0.515041,0.181463
0.691,0.516275,0.18208
0.692,0.51751,0.182699
0.693,0.518747,0.183318
0.694,0.519983,0.183939
0.695,0.521221,0.18456
0.696,0.522459,0.185183
0.697,0.523698,0.185806
0.698,0.524938,0.186431
0.699,0.526178,0.187057
0.7,0.52742,0.187683
0.701,0.528662,0.188311
0.702,0.529904,0.18894
0.703,0.531148,0.189569
0.704,0.532392,0.1902
0.705,0.533637,0.190832
0.706,0.534882,0.191464
0.707,0.536128,0.192098
0.708,0.537375,0.192733
0.709,0.538623,0.193369
0.71,0.539871,0.194005
0.711,0.54112,0.194643
0.712,0.54237,0.195282
0.713,0.543621,0.195922
0.714,0.544872,0.196563
0.715,0.546124,0.197204
0.716,0.547376,0.197847
0.717,0.54863,0.198491
0.718,0.549884,0.199136
0.719,0.551138,0.199782
0.72,0.552393,0.200429
0.721,0.553649,0.201076
0.722,0.554906,0.201725
0.723,0.556163,0.202375
0.724,0.557421,0.203026
0.725,0.55868,0.203678
0.726,0.559939,0.204331
0.727,0.561199,0.204984
0.728,0.56246,0.205639
0.729,0.563721,0.206295
0.73,0.564983,0.206952
0.731,0.566246,0.20761
0.732,0.567509,0.208269
0.733,0.568773,0.208928
0.734,0.570038,0.209589
0.735,0.571303,0.210251
0.736,0.572569,0.210914
0.737,0.573835,0.211578
0.738,0.575103,0.212242
0.739,0.57637,0.212908
0.74,0.577639,0.213575
0.741,0.578908,0.214243
0.742,0.580178,0.214911
0.743,0.581448,0.215581
0.744,0.582719,0.216252
0.745,0.58399,0.216923
0.746,0.585262,0.217596
0.747,0.586535,0.21827
0.748,0.587809,0.218944
0.749,0.589083,0.21962
0.75,0.590357,0.220296
0.751,0.591633,0.220974
0.752,0.592908,0.221653
0.753,0.594185,0.222332
0.754,0.595462,0.223013
0.755,0.596739,0.223694
0.756,0.598018,0.224377
0.757,0.599296,0.22506
0.758,0.600576,0.225744
0.759,0.601856,0.22643
0.76,0.603136,0.227116
0.761,0.604418,0.227804
0.762,0.605699,0.228492
0.763,0.606982,0.229181
0.764,0.608265,0.229871
0.765,0.609548,0.230563
0.766,0.610832,0.231255
0.767,0.612117,0.231948
0.768,0.613402,0.232642
0.769,0.614688,0.233337
0.77,0.615974,0.234033
0.771,0.617261,0.23473
0.772,0.618548,0.235428
0.773,0.619836,0.236127
0.774,0.621125,0.236827
0.775,0.622414,0.237528
0.776,0.623704,0.23823
0.777,0.624994,0.238933
0.778,0.626285,0.239636
0.779,0.627576,0.240341
0.78,0.628868,0.241047
0.781,0.63016,0.241753
0.782,0.631453,0.242461
0.783,0.632746,0.243169
0.784,0.63404,0.243879
0.785,0.635335,0.244589
0.786,0.63663,0.245301
0.787,0.637925,0.246013
0.788,0.639221,0.246726
0.789,0.640518,0.247441
0.79,0.641815,0.248156
0.791,0.643113,0.248872
0.792,0.644411,0.249589
0.793,0.645709,0.250307
0.794,0.647009,0.251026
0.795,0.648308,0.251746
0.796,0.649608,0.252467
0.797,0.650909,0.253189
0.798,0.65221,0.253912
0.799,0.653512,0.254635
0.8,0.654814,0.25536
0.801,0.656116,0.256086
0.802,0.65742,0.256812
0.803,0.658723,0.25754
0.804,0.660027,0.258268
0.805,0.661332,0.258997
0.806,0.662637,0.259728
0.807,0.663942,0.260459
0.808,0.665248,0.261191
0.809,0.666555,0.261924
0.81,0.667862,0.262658
0.811,0.669169,0.263393
0.812,0.670477,0.264129
0.813,0.671786,0.264866
0.814,0.673094,0.265604
0.815,0.674404,0.266342
0.816,0.675713,0.267082
0.817,0.677024,0.267822
0.818,0.678334,0.268564
0.819,0.679645,0.269306
0.82,0.680957,0.27005
0.821,0.682269,0.270794
0.822,0.683581,0.271539
0.823,0.684894,0.272285
0.824,0.686208,0.273032
0.825,0.687521,0.27378
0.826,0.688836,0.274529
0.827,0.69015,0.275279
0.828,0.691465,0.276029
0.829,0.692781,0.276781
0.83,0.694097,0.277534
0.831,0.695413,0.278287
0.832,0.69673,0.279041
0.833,0.698047,0.279797
0.834,0.699365,0.280553
0.835,0.700683,0.28131
0.836,0.702001,0.282068
0.837,0.70332,0.282827
0.838,0.704639,0.283587
0.839,0.705959,0.284348
0.84,0.707279,0.285109
0.841,0.7086,0.285872
0.842,0.70992,0.286635
0.843,0.711242,0.2874
0.844,0.712563,0.288165
0.845,0.713886,0.288931
0.846,0.715208,0.289698
0.847,0.716531,0.290466
0.848,0.717854,0.291235
0.849,0.719178,0.292005
0.85,0.720502,0.292776
0.851,0.721826,0.293547
0.852,0.723151,0.29432
0.853,0.724476,0.295093
0.854,0.725802,0.295867
0.855,0.727128,0.296643
0.856,0.728454,0.297419
0.857,0.729781,0.298196
0.858,0.731108,0.298974
0.859,0.732435,0.299752
0.86,0.733763,0.300532
0.861,0.735091,0.301313
0.862,0.73642,0.302094
0.863,0.737748,0.302876
0.864,0.739078,0.30366
0.865,0.740407,0.304444
0.866,0.741737,0.305229
0.867,0.743067,0.306014
0.868,0.744398,0.306801
0.869,0.745729,0.307589
0.87,0.74706,0.308377
0.871,0.748392,0.309167
0.872,0.749724,0.309957
0.873,0.751056,0.310748
0.874,0.752389,0.31154
0.875,0.753722,0.312333
0.876,0.755055,0.313127
0.877,0.756389,0.313922
0.878,0.757723,0.314717
0.879,0.759057,0.315514
0.88,0.760391,0.316311
0.881,0.761726,0.317109
0.882,0.763062,0.317908
0.883,0.764397,0.318708
0.884,0.765733,0.319509
0.885,0.767069,0.320311
0.886,0.768406,0.321113
